mixture_id,Intensities
Snitz 1_30,"[62.95112328, 54.04042441, 59.05665501, 52.426179, 59.87709184, 23.05038495, 57.40243256, 58.02777571, 58.19243181, 51.23769842, 59.62267212, 60.3600245, 56.36771811, 43.24368151, 52.75500962, 49.95189478, 57.72094093, 60.34060883, 60.65817432, 59.88999604, 61.44496572, 55.29786583, 56.25057098, 63.70655912, 56.46923902, 55.31092518, 23.05575012, 58.54399378, 52.22203237, 58.6835805, 60.2949935, 60.99529741, 57.68976334, 60.13376532, 53.65731884, 55.98155601, 49.90606116, 44.22753896, 48.60275636, 58.87189338]"
Snitz 1_31,"[61.44496572, 54.04042441, 58.02777571, 56.36771811]"
Snitz 1_33,"[62.91985986, 57.25326379, 57.7690685, 43.63433495, 50.31448701, 61.67682969, 62.08921606, 50.60712449, 57.21506651, 58.3392051, 63.33591285, 55.81449629, 35.49432741, 45.90627815, 59.08974173, 51.38849123, 54.82877317, 62.97552728, 57.98557317, 54.12642172]"
Snitz 1_34,"[62.91985986, 57.25326379, 57.7690685, 43.63433495, 50.2006041, 61.08198948, 45.73953193, 50.31448701, 61.67682969, 23.05481936, 62.08921606, 50.60712449, 53.24164788, 67.0583771, 54.68290549, 48.53668158, 58.3392051, 63.33591285, 55.03201346, 55.81449629, 56.2092872, 35.49432741, 45.90627815, 59.08974173, 51.38849123, 62.97552728, 56.34878391, 57.98557317, 64.0456888, 54.12642172]"
Snitz 1_35,"[62.91985986, 47.88622803, 57.25326379, 57.7690685, 43.63433495, 50.2006041, 61.08198948, 45.73953193, 50.31448701, 61.67682969, 23.05481936, 62.08921606, 48.89435921, 50.60712449, 53.24164788, 67.0583771, 57.21506651, 54.68290549, 48.53668158, 58.3392051, 64.76946624, 64.98042061, 63.33591285, 55.03201346, 57.09673961, 55.95758643, 55.81449629, 57.31259726, 56.2092872, 69.36706607, 35.49432741, 45.90627815, 59.08974173, 51.38849123, 54.82877317, 62.97552728, 56.34878391, 57.98557317, 64.0456888, 54.12642172]"
Snitz 1_36,"[50.2006041, 64.76946624, 55.81449629, 51.38849123]"
Snitz 1_37,"[62.91985986, 43.63433495, 58.3392051, 56.46923902, 35.49432741, 58.54399378, 52.22203237, 57.68976334, 57.98557317, 44.22753896]"
Snitz 1_38,"[55.73699282, 54.04042441, 52.426179, 45.73953193, 23.05038495, 43.24368151, 57.21506651, 60.34060883, 60.65817432, 61.44496572, 55.81449629, 45.90627815, 59.08974173, 54.82877317, 54.79930118]"
Snitz 1_39,"[55.73699282, 47.88622803, 45.73953193, 58.02777571, 59.62267212, 60.3600245, 43.24368151, 57.21506651, 60.34060883, 60.65817432, 55.03201346, 57.09673961, 61.44496572, 55.81449629, 56.90300202, 54.82877317, 58.6835805, 54.79930118, 52.79708299, 58.87189338]"
Snitz 1_40,"[55.73699282, 47.88622803, 57.7690685, 54.04042441, 59.05665501, 61.08198948, 52.426179, 59.87709184, 23.05038495, 58.02777571, 51.23769842, 59.62267212, 60.3600245, 62.08921606, 49.95189478, 60.34060883, 60.65817432, 55.03201346, 57.09673961, 55.81449629, 56.90300202, 45.90627815, 59.08974173, 51.38849123, 54.82877317, 58.6835805, 62.97552728, 54.79930118, 52.79708299, 58.87189338]"
Snitz 1_41,"[55.73699282, 47.88622803, 57.7690685, 54.04042441, 59.05665501, 61.08198948, 52.426179, 45.73953193, 59.87709184, 23.05038495, 58.02777571, 58.19243181, 51.23769842, 59.62267212, 60.3600245, 56.36771811, 62.08921606, 50.71321274, 43.24368151, 49.95189478, 57.21506651, 57.72094093, 60.34060883, 60.65817432, 55.03201346, 57.09673961, 61.44496572, 55.81449629, 23.05575012, 56.90300202, 69.36706607, 45.90627815, 59.08974173, 51.38849123, 54.82877317, 58.6835805, 62.97552728, 56.34878391, 54.79930118, 48.11500052, 64.0456888, 52.79708299, 58.87189338]"
Snitz 1_42,"[62.95112328, 57.25326379, 43.63433495, 50.2006041, 23.05481936, 54.68290549, 58.3392051, 63.70655912, 56.46923902, 35.49432741, 60.2949935, 60.99529741, 53.65731884, 44.22753896, 48.60275636]"
Snitz 1_43,"[62.95112328, 62.91985986, 57.25326379, 43.63433495, 50.2006041, 50.31448701, 61.67682969, 53.24164788, 54.68290549, 58.3392051, 64.98042061, 59.88999604, 55.29786583, 56.46923902, 35.49432741, 60.99529741, 57.68976334, 44.22753896, 48.60275636, 54.12642172]"
Snitz 1_44,"[47.88622803, 58.19243181, 60.3600245, 57.72094093, 60.65817432, 57.09673961, 54.82877317, 62.97552728, 56.34878391, 52.79708299]"
Snitz 1_46,"[47.88622803, 60.34060883, 54.82877317, 62.97552728]"
Snitz 1_47,"[62.95112328, 57.25326379, 43.63433495, 50.2006041, 50.31448701, 61.67682969, 23.05481936, 50.60712449, 53.24164788, 52.75500962, 67.0583771, 54.68290549, 58.3392051, 63.33591285, 55.29786583, 63.70655912, 56.46923902, 55.31092518, 35.49432741, 58.54399378, 52.22203237, 60.2949935, 60.99529741, 57.68976334, 60.13376532, 53.65731884, 57.98557317, 49.90606116, 44.22753896, 48.60275636]"
Snitz 1_48,"[62.95112328, 62.91985986, 57.25326379, 43.63433495, 50.2006041, 50.31448701, 61.67682969, 23.05481936, 57.40243256, 48.89435921, 50.60712449, 53.24164788, 52.75500962, 67.0583771, 54.68290549, 48.53668158, 58.3392051, 64.76946624, 64.98042061, 63.33591285, 59.88999604, 55.95758643, 55.29786583, 56.25057098, 63.70655912, 56.46923902, 55.31092518, 57.31259726, 56.2092872, 35.49432741, 58.54399378, 52.22203237, 60.2949935, 60.99529741, 57.68976334, 60.13376532, 53.65731884, 57.98557317, 55.98155601, 49.90606116, 44.22753896, 48.60275636, 54.12642172]"
Snitz 1_49,"[43.63433495, 50.2006041, 52.22203237, 57.98557317]"
Snitz 2_1,"[60.3600245, 57.72094093, 62.97552728, 55.98155601]"
Snitz 2_2,"[57.25326379, 50.2006041, 59.05665501, 51.23769842, 58.3392051]"
Snitz 2_3,"[57.7690685, 50.2006041, 59.05665501, 60.65817432, 57.09673961, 58.54399378, 64.0456888]"
Snitz 2_4,"[50.2006041, 58.19243181, 48.53668158, 58.3392051, 57.31259726, 51.38849123, 60.2949935, 62.97552728, 64.0456888]"
Snitz 2_5,"[62.95112328, 61.08198948, 52.426179, 57.31259726]"
Snitz 2_6,"[59.05665501, 48.89435921, 52.75500962, 59.88999604, 61.44496572, 62.97552728]"
Snitz 2_7,"[61.08198948, 23.05481936, 59.62267212, 48.53668158, 57.09673961, 55.95758643, 57.31259726]"
Snitz 2_8,"[57.7690685, 48.89435921, 57.21506651, 58.54399378, 49.90606116]"
Snitz 2_9,"[57.25326379, 52.426179, 64.98042061, 59.88999604, 61.44496572, 56.2092872, 45.90627815, 49.90606116]"
Snitz 2_10,"[59.87709184, 23.05481936, 51.23769842, 57.09673961, 56.90300202, 52.22203237, 60.2949935, 57.68976334, 49.90606116]"
Snitz 2_11,"[61.08198948, 48.53668158, 64.98042061, 60.65817432, 61.44496572, 56.2092872, 56.90300202, 45.90627815, 59.08974173, 60.99529741]"
Snitz 2_12,"[62.95112328, 60.3600245, 48.53668158, 69.36706607, 57.68976334, 55.98155601]"
Snitz 2_13,"[62.95112328, 59.05665501, 59.87709184, 58.19243181, 60.65817432, 61.44496572, 60.99529741, 53.65731884]"
Snitz 2_14,"[58.19243181, 59.62267212, 56.36771811, 58.3392051, 55.95758643, 56.2092872, 52.22203237, 51.38849123, 60.2949935, 62.97552728]"
Ravia_1,"[50.84101279, 26.90818113, 64.76946624, 62.91985986, 42.11011914, 42.24799048, 52.79708299, 50.43448304, 51.1694032, 50.71321274, 57.64660089, 50.49346619, 56.08463586, 59.88999604, 58.62542716, 65.70170476, 54.04042441, 43.24368151, 58.3392051, 61.14719739, 48.60275636]"
Ravia_2,"[50.84101279, 40.51733074, 51.38849123, 52.79708299, 55.95758643, 50.71321274, 56.919334, 56.08463586, 48.76465378, 58.62542716, 54.9193392, 48.60275636]"
Ravia_3,"[50.84101279, 59.22462437, 62.91985986, 45.73953193, 52.79708299, 55.95758643, 49.87409848, 50.71321274, 56.08463586, 48.76465378, 59.88999604, 61.14719739, 48.60275636]"
Ravia_4,"[50.84101279, 40.68001783, 29.36251527, 51.38849123, 61.14577932, 45.73953193, 37.90413775, 49.87409848, 66.25833871, 58.62542716, 65.70170476, 54.04042441, 43.24368151]"
Ravia_5,"[40.68001783, 40.51733074, 39.22971341, 26.90818113, 37.17358733, 29.36251527, 64.76946624, 59.22462437, 62.91985986, 42.11011914, 42.24799048, 55.81449629, 51.1694032, 36.41674786, 47.91585037, 57.64660089, 56.919334, 50.49346619, 56.08463586, 48.76465378, 59.88999604, 54.04042441, 43.24368151, 54.9193392, 48.60275636]"
Ravia_6,"[50.84101279, 40.51733074, 61.82568494, 26.90818113, 59.22462437, 42.11011914, 61.14577932, 55.81449629, 52.79708299, 36.41674786, 57.64660089, 65.70170476, 43.24368151, 48.60275636]"
Ravia_7,"[61.82568494, 26.90818113, 37.17358733, 29.36251527, 64.76946624, 59.22462437, 62.91985986, 67.0583771, 55.81449629, 52.79708299, 51.1694032, 55.95758643, 49.87409848, 50.71321274, 57.64660089, 56.08463586, 65.70170476, 55.98731693, 48.60275636]"
Ravia_8,"[40.51733074, 61.82568494, 37.17358733, 29.36251527, 64.76946624, 62.91985986, 51.38849123, 42.24799048, 55.81449629, 52.79708299, 50.43448304, 55.95758643, 49.87409848, 57.64660089, 56.919334, 66.25833871, 56.08463586, 48.76465378, 65.70170476, 54.04042441, 61.14719739]"
Ravia_9,"[50.84101279, 64.76946624, 51.38849123, 42.11011914, 55.81449629, 45.73953193, 50.43448304, 37.90413775, 49.87409848, 36.41674786, 66.25833871, 56.08463586, 59.88999604, 58.62542716, 65.70170476, 43.24368151, 54.9193392]"
Ravia_10,"[50.84101279, 40.68001783, 40.51733074, 61.82568494, 59.22462437, 51.38849123, 61.14577932, 55.81449629, 51.1694032, 58.62542716, 54.04042441, 61.14719739]"
Ravia_11,"[50.84101279, 40.68001783, 40.51733074, 61.82568494, 26.90818113, 37.17358733, 59.22462437, 51.38849123, 42.11011914, 42.24799048, 55.81449629, 51.1694032, 55.95758643, 37.90413775, 50.71321274, 36.41674786, 47.91585037, 56.919334, 66.25833871, 50.49346619, 56.08463586, 59.88999604, 58.62542716, 65.70170476, 55.98731693, 54.04042441]"
Ravia_12,"[40.68001783, 40.51733074, 61.82568494, 39.22971341, 26.90818113, 37.17358733, 29.36251527, 64.76946624, 59.22462437, 61.14577932, 50.43448304, 45.53276999, 36.41674786, 47.91585037, 50.49346619, 58.62542716, 48.60275636]"
Ravia_13,"[50.84101279, 39.22971341, 26.90818113, 37.17358733, 62.91985986, 42.11011914, 42.24799048, 61.14577932, 45.73953193, 52.79708299, 50.43448304, 51.1694032, 49.87409848, 45.53276999, 57.64660089, 59.88999604, 58.3392051, 48.60275636]"
Ravia_14,"[50.84101279, 40.51733074, 61.82568494, 39.22971341, 37.17358733, 29.36251527, 64.76946624, 59.22462437, 62.91985986, 51.38849123, 67.0583771, 55.81449629, 45.73953193, 50.43448304, 51.1694032, 55.95758643, 37.90413775, 49.87409848, 45.53276999, 36.41674786, 56.919334, 56.08463586, 65.70170476, 55.98731693, 43.24368151, 54.9193392]"
Ravia_15,"[39.22971341, 64.76946624, 62.91985986, 67.0583771, 50.43448304, 49.87409848, 36.41674786, 47.91585037, 57.64660089, 56.919334, 56.08463586, 58.3392051, 48.60275636]"
Ravia_16,"[61.82568494, 59.22462437, 42.11011914, 52.79708299, 51.1694032, 45.53276999, 47.91585037, 56.919334, 66.25833871, 56.08463586, 48.76465378, 65.70170476, 55.98731693, 61.14719739, 48.60275636]"
Ravia_17,"[50.84101279, 40.68001783, 40.51733074, 39.22971341, 59.22462437, 51.38849123, 42.11011914, 67.0583771, 42.24799048, 61.14577932, 52.79708299, 50.43448304, 49.87409848, 56.919334, 66.25833871, 56.08463586, 48.76465378, 65.70170476, 55.98731693, 61.14719739, 48.60275636]"
Ravia_18,"[40.51733074, 61.82568494, 26.90818113, 37.17358733, 64.76946624, 59.22462437, 51.38849123, 42.11011914, 67.0583771, 42.24799048, 55.81449629, 52.79708299, 50.43448304, 55.95758643, 49.87409848, 50.71321274, 36.41674786, 56.919334, 66.25833871, 56.08463586, 59.88999604, 65.70170476, 55.98731693, 43.24368151, 58.3392051]"
Ravia_19,"[50.84101279, 40.51733074, 61.82568494, 39.22971341, 37.17358733, 29.36251527, 64.76946624, 51.38849123, 42.11011914, 67.0583771, 42.24799048, 55.81449629, 45.73953193, 51.1694032, 55.95758643, 37.90413775, 49.87409848, 45.53276999, 47.91585037, 66.25833871, 50.49346619, 48.76465378, 59.88999604, 65.70170476, 55.98731693, 54.9193392, 58.3392051]"
Ravia_20,"[50.84101279, 40.68001783, 40.51733074, 61.82568494, 26.90818113, 37.17358733, 29.36251527, 59.22462437, 62.91985986, 51.38849123, 67.0583771, 42.24799048, 55.81449629, 52.79708299, 37.90413775, 50.71321274, 36.41674786, 47.91585037, 66.25833871, 50.49346619, 56.08463586, 48.76465378, 58.62542716, 55.98731693, 54.04042441, 54.9193392, 58.3392051, 61.14719739]"
Ravia_21,"[40.68001783, 39.22971341, 26.90818113, 37.17358733, 64.76946624, 51.38849123, 67.0583771, 55.81449629, 51.1694032, 55.95758643, 50.71321274, 45.53276999, 36.41674786, 47.91585037, 57.64660089, 56.919334, 59.88999604, 58.62542716, 65.70170476, 54.9193392, 58.3392051, 48.60275636]"
Ravia_22,"[61.82568494, 26.90818113, 29.36251527, 42.24799048, 45.73953193, 50.71321274, 45.53276999, 56.919334, 48.76465378, 59.88999604, 58.62542716, 55.98731693, 43.24368151, 61.14719739]"
Ravia_23,"[40.51733074, 61.82568494, 29.36251527, 59.22462437, 51.38849123, 67.0583771, 61.14577932, 51.1694032, 55.95758643, 37.90413775, 50.71321274, 45.53276999, 36.41674786, 50.49346619, 56.08463586, 59.88999604, 58.62542716, 61.14719739]"
Ravia_24,"[40.51733074, 37.17358733, 42.24799048, 51.1694032, 37.90413775, 49.87409848, 47.91585037, 66.25833871, 50.49346619, 55.98731693]"
Ravia_25,"[50.84101279, 26.90818113, 64.76946624, 67.0583771, 42.24799048, 45.73953193, 50.43448304, 55.95758643, 50.49346619, 56.08463586, 65.70170476, 43.24368151, 54.9193392]"
Ravia_26,"[40.51733074, 61.82568494, 64.76946624, 51.38849123, 67.0583771, 42.24799048, 45.73953193, 36.41674786, 47.91585037, 66.25833871, 48.76465378]"
Ravia_27,"[40.51733074, 61.82568494, 26.90818113, 37.17358733, 51.38849123, 42.11011914, 67.0583771, 61.14577932, 55.81449629, 50.43448304, 37.90413775, 49.87409848, 36.41674786, 47.91585037, 57.64660089, 56.08463586, 48.76465378, 58.62542716, 65.70170476, 55.98731693, 54.04042441, 54.9193392, 58.3392051, 61.14719739, 48.60275636]"
Ravia_28,"[39.22971341, 26.90818113, 64.76946624, 59.22462437, 42.11011914, 42.24799048, 61.14577932, 52.79708299, 37.90413775, 45.53276999, 36.41674786, 66.25833871, 56.08463586, 58.62542716, 65.70170476, 54.04042441, 61.14719739]"
Ravia_29,"[40.51733074, 61.82568494, 29.36251527, 59.22462437, 42.24799048, 61.14577932, 55.81449629, 45.73953193, 50.43448304, 37.90413775, 49.87409848, 50.71321274, 57.64660089, 56.919334, 50.49346619, 56.08463586, 48.76465378, 59.88999604, 65.70170476, 43.24368151, 54.9193392, 58.3392051, 48.60275636]"
Ravia_30,"[50.84101279, 39.22971341, 26.90818113, 29.36251527, 61.14577932, 51.1694032, 50.71321274, 57.64660089, 56.08463586, 65.70170476, 54.9193392, 48.60275636]"
Ravia_31,"[40.51733074, 61.82568494, 39.22971341, 37.17358733, 64.76946624, 51.38849123, 45.73953193, 51.1694032, 37.90413775, 49.87409848, 66.25833871, 59.88999604, 55.98731693, 54.04042441, 54.9193392, 58.3392051]"
Ravia_32,"[50.84101279, 37.17358733, 29.36251527, 64.76946624, 51.38849123, 42.11011914, 67.0583771, 42.24799048, 61.14577932, 45.73953193, 50.43448304, 51.1694032, 37.90413775, 49.87409848, 45.53276999, 57.64660089, 50.49346619, 56.08463586, 59.88999604, 65.70170476, 54.04042441, 43.24368151, 54.9193392, 58.3392051, 61.14719739]"
Ravia_33,"[40.68001783, 40.51733074, 39.22971341, 29.36251527, 59.22462437, 62.91985986, 67.0583771, 50.43448304, 57.64660089, 56.919334, 50.49346619, 59.88999604, 58.62542716, 65.70170476, 54.04042441, 58.3392051, 61.14719739]"
Ravia_34,"[40.51733074, 59.22462437, 62.91985986, 51.38849123, 61.14577932, 55.81449629, 52.79708299, 51.1694032, 49.87409848, 50.71321274, 57.64660089, 50.49346619, 54.9193392]"
Ravia_35,"[50.84101279, 40.68001783, 40.51733074, 61.82568494, 26.90818113, 37.17358733, 59.22462437, 51.38849123, 42.11011914, 42.24799048, 55.81449629, 51.1694032, 55.95758643, 37.90413775, 50.71321274, 36.41674786, 47.91585037, 56.919334, 66.25833871, 50.49346619, 56.08463586, 59.88999604, 58.62542716, 65.70170476, 55.98731693, 54.04042441]"
Ravia_36,"[37.17358733, 64.76946624, 36.41674786, 59.88999604, 55.98731693, 54.04042441, 43.24368151, 58.3392051, 48.60275636]"
Ravia_37,"[61.82568494, 29.36251527, 51.38849123, 67.0583771, 61.14577932, 50.43448304, 49.87409848, 50.71321274, 47.91585037, 50.49346619]"
Ravia_38,"[50.84101279, 40.68001783, 40.51733074, 39.22971341, 26.90818113, 51.38849123, 67.0583771, 61.14577932, 55.81449629, 52.79708299, 51.1694032, 50.71321274, 57.64660089, 56.919334, 66.25833871, 50.49346619, 56.08463586, 48.76465378, 59.88999604, 58.62542716, 55.98731693, 43.24368151, 58.3392051]"
Ravia_39,"[61.82568494, 39.22971341, 26.90818113, 29.36251527, 55.81449629, 52.79708299, 51.1694032, 37.90413775, 45.53276999, 47.91585037, 57.64660089, 56.919334, 50.49346619, 48.76465378, 59.88999604, 65.70170476, 55.98731693, 54.9193392]"
Ravia_40,"[50.84101279, 39.22971341, 26.90818113, 37.17358733, 62.91985986, 42.11011914, 42.24799048, 61.14577932, 45.73953193, 52.79708299, 50.43448304, 51.1694032, 49.87409848, 45.53276999, 57.64660089, 59.88999604, 58.3392051, 48.60275636]"
Ravia_41,"[50.84101279, 61.82568494, 59.22462437, 62.91985986, 42.11011914, 67.0583771, 61.14577932, 55.81449629, 52.79708299, 50.43448304, 51.1694032, 55.95758643, 37.90413775, 57.64660089, 56.919334, 66.25833871, 59.88999604, 58.62542716, 65.70170476, 43.24368151, 54.9193392, 48.60275636]"
Ravia_42,"[50.84101279, 40.68001783, 61.82568494, 39.22971341, 26.90818113, 59.22462437, 51.38849123, 61.14577932, 55.81449629, 52.79708299, 51.1694032, 37.90413775, 49.87409848, 45.53276999, 36.41674786, 57.64660089, 56.919334, 59.88999604, 58.62542716, 65.70170476, 55.98731693, 58.3392051, 61.14719739, 48.60275636]"
Ravia_43,"[50.84101279, 40.68001783, 40.51733074, 39.22971341, 37.17358733, 29.36251527, 64.76946624, 59.22462437, 62.91985986, 51.38849123, 42.11011914, 67.0583771, 42.24799048, 61.14577932, 55.81449629, 52.79708299, 50.43448304, 51.1694032, 55.95758643, 45.53276999, 47.91585037, 66.25833871, 56.08463586, 65.70170476, 55.98731693, 54.04042441, 61.14719739, 48.60275636]"
Ravia_44,"[50.84101279, 40.68001783, 40.51733074, 61.82568494, 37.17358733, 59.22462437, 42.11011914, 67.0583771, 42.24799048, 55.81449629, 45.73953193, 50.43448304, 37.90413775, 49.87409848, 57.64660089, 56.919334, 66.25833871, 50.49346619, 48.76465378, 58.62542716, 65.70170476, 55.98731693, 54.04042441, 43.24368151, 48.60275636]"
Ravia_45,"[50.84101279, 40.68001783, 61.82568494, 39.22971341, 26.90818113, 37.17358733, 64.76946624, 62.91985986, 51.38849123, 42.11011914, 67.0583771, 61.14577932, 55.81449629, 45.73953193, 52.79708299, 50.43448304, 37.90413775, 49.87409848, 36.41674786, 57.64660089, 50.49346619, 59.88999604, 58.62542716, 65.70170476, 43.24368151, 58.3392051, 48.60275636]"
Ravia_46,"[39.22971341, 64.76946624, 59.22462437, 42.11011914, 37.90413775, 58.62542716, 65.70170476, 58.3392051, 48.60275636]"
Ravia_47,"[40.51733074, 61.82568494, 26.90818113, 37.17358733, 59.22462437, 62.91985986, 42.24799048, 61.14577932, 55.81449629, 51.1694032, 55.95758643, 37.90413775, 50.71321274, 45.53276999, 47.91585037, 57.64660089, 56.919334, 56.08463586, 58.62542716, 55.98731693, 54.9193392, 48.60275636]"
Ravia_48,"[64.76946624, 62.91985986, 42.11011914, 42.24799048, 45.73953193, 51.1694032, 55.95758643, 47.91585037, 57.64660089, 48.76465378, 59.88999604, 55.98731693, 54.04042441, 43.24368151, 54.9193392, 58.3392051, 48.60275636]"
