Dataset 1,Dataset 2,Mixture 1,Mixture 2,Experimental Values,label
Snitz 1,Snitz 1,10.0,6.0,0.41145833,106
Snitz 1,Snitz 1,10.0,7.0,0.45833333,107
Snitz 1,Snitz 1,11.0,2.0,0.51041667,108
Snitz 1,Snitz 1,11.0,3.0,0.71354167,109
Snitz 1,Snitz 1,11.0,4.0,0.46875,110
Snitz 1,Snitz 1,11.0,5.0,0.34375,111
DA,Snitz 1,35.0,5.0,0.34375,111
Snitz 1,DA,11.0,36.0,0.34375,111
DA,DA,35.0,36.0,0.34375,111
Snitz 1,Snitz 1,11.0,6.0,0.38020833,112
Snitz 1,Snitz 1,11.0,7.0,0.55208333,113
Snitz 1,Snitz 1,12.0,2.0,0.77083333,114
Snitz 1,Snitz 1,12.0,3.0,0.765625,115
Snitz 1,Snitz 1,12.0,4.0,0.69791667,116
Snitz 1,Snitz 1,12.0,5.0,0.68229167,117
DA,Snitz 1,37.0,5.0,0.68229167,117
Snitz 1,DA,12.0,38.0,0.68229167,117
DA,DA,37.0,38.0,0.68229167,117
Snitz 1,Snitz 1,12.0,6.0,0.63020833,118
Snitz 1,Snitz 1,12.0,7.0,0.7109375,119
Snitz 1,Snitz 1,13.0,14.0,0.75480769,120
Snitz 1,Snitz 1,13.0,15.0,0.70192308,121
Snitz 1,Snitz 1,13.0,16.0,0.70673077,122
Snitz 1,Snitz 1,13.0,17.0,0.58173077,123
DA,Snitz 1,39.0,17.0,0.58173077,123
Snitz 1,DA,13.0,40.0,0.58173077,123
DA,DA,39.0,40.0,0.58173077,123
Snitz 1,Snitz 1,13.0,18.0,0.56730769,124
Snitz 1,Snitz 1,13.0,19.0,0.82211538,125
DA,Snitz 1,41.0,19.0,0.82211538,125
Snitz 1,DA,13.0,42.0,0.82211538,125
DA,DA,41.0,42.0,0.82211538,125
Snitz 1,Snitz 1,20.0,14.0,0.71153846,126
Snitz 1,Snitz 1,20.0,15.0,0.53365385,127
Snitz 1,Snitz 1,20.0,17.0,0.77403846,128
Snitz 1,Snitz 1,20.0,18.0,0.72115385,129
Snitz 1,Snitz 1,20.0,19.0,0.53365385,130
Snitz 1,Snitz 1,21.0,14.0,0.73557692,131
Snitz 1,Snitz 1,21.0,15.0,0.71153846,132
Snitz 1,Snitz 1,21.0,16.0,0.57211538,133
DA,Snitz 1,43.0,16.0,0.57211538,133
Snitz 1,DA,21.0,44.0,0.57211538,133
DA,DA,43.0,44.0,0.57211538,133
Snitz 1,Snitz 1,21.0,17.0,0.51442308,134
Snitz 1,Snitz 1,21.0,18.0,0.53365385,135
Snitz 1,Snitz 1,21.0,19.0,0.68269231,136
Snitz 1,Snitz 1,22.0,14.0,0.73557692,137
Snitz 1,Snitz 1,22.0,15.0,0.68269231,138
Snitz 1,Snitz 1,22.0,16.0,0.45192308,139
Snitz 1,Snitz 1,22.0,17.0,0.42788462,140
DA,Snitz 1,45.0,17.0,0.42788462,140
Snitz 1,DA,22.0,46.0,0.42788462,140
DA,DA,45.0,46.0,0.42788462,140
Snitz 1,Snitz 1,22.0,18.0,0.5,141
Snitz 1,Snitz 1,22.0,19.0,0.79326923,142
DA,Snitz 1,47.0,19.0,0.79326923,142
Snitz 1,DA,22.0,48.0,0.79326923,142
DA,DA,47.0,48.0,0.79326923,142
Snitz 1,Snitz 1,23.0,14.0,0.75480769,143
Snitz 1,Snitz 1,23.0,15.0,0.67307692,144
Snitz 1,Snitz 1,23.0,16.0,0.5,145
Snitz 1,Snitz 1,23.0,17.0,0.45192308,146
Snitz 1,Snitz 1,23.0,18.0,0.41826923,147
Snitz 1,Snitz 1,23.0,19.0,0.77884615,148
DA,Snitz 1,49.0,19.0,0.77884615,148
Snitz 1,DA,23.0,50.0,0.77884615,148
DA,DA,49.0,50.0,0.77884615,148
Snitz 1,Snitz 1,24.0,14.0,0.77884615,149
Snitz 1,Snitz 1,24.0,15.0,0.70192308,150
Snitz 1,Snitz 1,24.0,16.0,0.73557692,151
Snitz 1,Snitz 1,24.0,18.0,0.77884615,152
Snitz 1,Snitz 1,24.0,19.0,0.67788462,153
Snitz 1,Snitz 1,25.0,26.0,0.71153846,154
Snitz 1,Snitz 1,25.0,27.0,0.72115385,155
Snitz 1,Snitz 1,25.0,28.0,0.62980769,156
Snitz 1,Snitz 1,25.0,29.0,0.67307692,157
Snitz 1,Snitz 1,25.0,30.0,0.66346154,158
Snitz 1,Snitz 1,25.0,31.0,0.61057692,159
DA,Snitz 1,51.0,31.0,0.61057692,159
Snitz 1,DA,25.0,52.0,0.61057692,159
DA,DA,51.0,52.0,0.61057692,159
Snitz 1,Snitz 1,32.0,26.0,0.8125,160
DA,Snitz 1,53.0,26.0,0.8125,160
Snitz 1,DA,32.0,54.0,0.8125,160
DA,DA,53.0,54.0,0.8125,160
Snitz 1,Snitz 1,32.0,27.0,0.72115385,161
DA,Snitz 1,55.0,27.0,0.72115385,161
Snitz 1,DA,32.0,56.0,0.72115385,161
DA,DA,55.0,56.0,0.72115385,161
Snitz 1,Snitz 1,32.0,28.0,0.79326923,162
Snitz 1,Snitz 1,32.0,29.0,0.61057692,163
DA,Snitz 1,57.0,29.0,0.61057692,163
Snitz 1,DA,32.0,58.0,0.61057692,163
DA,DA,57.0,58.0,0.61057692,163
Snitz 1,Snitz 1,32.0,30.0,0.74038462,164
Snitz 1,Snitz 1,32.0,31.0,0.75480769,165
Snitz 1,Snitz 1,33.0,26.0,0.68269231,166
Snitz 1,Snitz 1,33.0,27.0,0.61538462,167
Snitz 1,Snitz 1,33.0,28.0,0.73557692,168
Snitz 1,Snitz 1,33.0,29.0,0.53365385,169
DA,Snitz 1,59.0,29.0,0.53365385,169
Snitz 1,DA,33.0,60.0,0.53365385,169
DA,DA,59.0,60.0,0.53365385,169
Snitz 1,Snitz 1,33.0,30.0,0.51923077,170
Snitz 1,Snitz 1,33.0,31.0,0.72596154,171
Snitz 1,Snitz 1,34.0,26.0,0.65865385,172
DA,Snitz 1,61.0,26.0,0.65865385,172
Snitz 1,DA,34.0,62.0,0.65865385,172
DA,DA,61.0,62.0,0.65865385,172
Snitz 1,Snitz 1,34.0,27.0,0.63461538,173
DA,Snitz 1,63.0,27.0,0.63461538,173
Snitz 1,DA,34.0,64.0,0.63461538,173
DA,DA,63.0,64.0,0.63461538,173
Snitz 1,Snitz 1,34.0,28.0,0.69230769,174
DA,Snitz 1,65.0,28.0,0.69230769,174
Snitz 1,DA,34.0,66.0,0.69230769,174
DA,DA,65.0,66.0,0.69230769,174
Snitz 1,Snitz 1,34.0,29.0,0.52403846,175
Snitz 1,Snitz 1,34.0,30.0,0.45673077,176
Snitz 1,Snitz 1,34.0,31.0,0.69230769,177
Snitz 1,Snitz 1,35.0,26.0,0.73557692,178
Snitz 1,Snitz 1,35.0,27.0,0.65384615,179
Snitz 1,Snitz 1,35.0,28.0,0.67307692,180
Snitz 1,Snitz 1,35.0,29.0,0.62980769,181
DA,Snitz 1,67.0,29.0,0.62980769,181
Snitz 1,DA,35.0,68.0,0.62980769,181
DA,DA,67.0,68.0,0.62980769,181
Snitz 1,Snitz 1,35.0,30.0,0.51442308,182
Snitz 1,Snitz 1,35.0,31.0,0.65384615,183
Snitz 1,Snitz 1,36.0,26.0,0.76923077,184
DA,Snitz 1,69.0,26.0,0.76923077,184
Snitz 1,DA,36.0,70.0,0.76923077,184
DA,DA,69.0,70.0,0.76923077,184
Snitz 1,Snitz 1,36.0,27.0,0.65384615,185
Snitz 1,Snitz 1,36.0,28.0,0.71634615,186
Snitz 1,Snitz 1,36.0,29.0,0.80769231,187
Snitz 1,Snitz 1,36.0,30.0,0.76442308,188
Snitz 1,Snitz 1,36.0,31.0,0.82692308,189
Snitz 1,Snitz 1,37.0,38.0,0.52272727,190
Snitz 1,Snitz 1,37.0,39.0,0.625,191
Snitz 1,Snitz 1,37.0,40.0,0.64204545,192
Snitz 1,Snitz 1,37.0,41.0,0.625,193
Snitz 1,Snitz 1,42.0,39.0,0.52840909,194
Snitz 1,Snitz 1,42.0,40.0,0.53977273,195
DA,Snitz 1,71.0,40.0,0.53977273,195
Snitz 1,DA,42.0,72.0,0.53977273,195
DA,DA,71.0,72.0,0.53977273,195
Snitz 1,Snitz 1,42.0,41.0,0.47159091,196
Snitz 1,Snitz 1,43.0,38.0,0.66477273,197
DA,Snitz 1,73.0,38.0,0.66477273,197
Snitz 1,DA,43.0,74.0,0.66477273,197
DA,DA,73.0,74.0,0.66477273,197
Snitz 1,Snitz 1,43.0,39.0,0.64204545,198
Snitz 1,Snitz 1,43.0,40.0,0.65340909,199
Snitz 1,Snitz 1,43.0,41.0,0.64772727,200
Snitz 1,Snitz 1,43.0,44.0,0.65909091,201
Snitz 1,Snitz 1,43.0,45.0,0.84090909,202
Snitz 1,Snitz 1,43.0,46.0,0.6875,203
DA,Snitz 1,75.0,46.0,0.6875,203
Snitz 1,DA,43.0,76.0,0.6875,203
DA,DA,75.0,76.0,0.6875,203
Snitz 1,Snitz 1,47.0,38.0,0.39204545,204
Snitz 1,Snitz 1,47.0,40.0,0.48863636,205
Snitz 1,Snitz 1,47.0,44.0,0.66477273,206
Snitz 1,Snitz 1,47.0,45.0,0.78977273,207
Snitz 1,Snitz 1,47.0,46.0,0.61931818,208
Snitz 1,Snitz 1,48.0,38.0,0.41477273,209
Snitz 1,Snitz 1,48.0,39.0,0.44318182,210
DA,Snitz 1,77.0,39.0,0.44318182,210
Snitz 1,DA,48.0,78.0,0.44318182,210
DA,DA,77.0,78.0,0.44318182,210
Snitz 1,Snitz 1,48.0,40.0,0.34659091,211
Snitz 1,Snitz 1,48.0,41.0,0.52272727,212
Snitz 1,Snitz 1,48.0,44.0,0.67613636,213
Snitz 1,Snitz 1,48.0,45.0,0.75568182,214
Snitz 1,Snitz 1,48.0,46.0,0.52840909,215
Snitz 1,Snitz 1,49.0,38.0,0.45454545,216
Snitz 1,Snitz 1,49.0,39.0,0.61931818,217
Snitz 1,Snitz 1,49.0,40.0,0.64772727,218
Snitz 1,Snitz 1,49.0,41.0,0.59090909,219
Snitz 1,Snitz 1,49.0,44.0,0.35227273,220
Snitz 1,Snitz 1,49.0,46.0,0.60227273,221
Ravia,Ravia,1.0,11.0,0.75,222
DA,Ravia,79.0,11.0,0.75,222
Ravia,DA,1.0,80.0,0.75,222
DA,DA,79.0,80.0,0.75,222
Ravia,Ravia,2.0,12.0,0.5893,223
Ravia,Ravia,3.0,13.0,0.5,224
DA,Ravia,81.0,13.0,0.5,224
Ravia,DA,3.0,82.0,0.5,224
DA,DA,81.0,82.0,0.5,224
Ravia,Ravia,4.0,14.0,0.5,225
Ravia,Ravia,5.0,15.0,0.6607,226
DA,Ravia,83.0,15.0,0.6607,226
Ravia,DA,5.0,84.0,0.6607,226
DA,DA,83.0,84.0,0.6607,226
Ravia,Ravia,6.0,16.0,0.5179,227
DA,Ravia,85.0,16.0,0.5179,227
Ravia,DA,6.0,86.0,0.5179,227
DA,DA,85.0,86.0,0.5179,227
Ravia,Ravia,8.0,18.0,0.4821,228
Ravia,Ravia,9.0,19.0,0.375,229
DA,Ravia,87.0,19.0,0.375,229
Ravia,DA,9.0,88.0,0.375,229
DA,DA,87.0,88.0,0.375,229
Ravia,Ravia,10.0,20.0,0.75,230
DA,Ravia,89.0,20.0,0.75,230
Ravia,DA,10.0,90.0,0.75,230
DA,DA,89.0,90.0,0.75,230
Ravia,Ravia,21.0,31.0,0.5893,231
DA,Ravia,91.0,31.0,0.5893,231
Ravia,DA,21.0,92.0,0.5893,231
DA,DA,91.0,92.0,0.5893,231
Ravia,Ravia,22.0,32.0,0.9107,232
DA,Ravia,93.0,32.0,0.9107,232
Ravia,DA,22.0,94.0,0.9107,232
DA,DA,93.0,94.0,0.9107,232
Ravia,Ravia,23.0,33.0,0.4821,233
Ravia,Ravia,24.0,34.0,0.7321,234
Ravia,Ravia,25.0,35.0,0.4643,235
DA,Ravia,95.0,35.0,0.4643,235
Ravia,DA,25.0,96.0,0.4643,235
DA,DA,95.0,96.0,0.4643,235
Ravia,Ravia,26.0,36.0,0.7143,236
DA,Ravia,97.0,36.0,0.7143,236
Ravia,DA,26.0,98.0,0.7143,236
DA,DA,97.0,98.0,0.7143,236
Ravia,Ravia,27.0,37.0,0.5,237
Ravia,Ravia,28.0,38.0,0.6071,238
DA,Ravia,99.0,38.0,0.6071,238
Ravia,DA,28.0,100.0,0.6071,238
DA,DA,99.0,100.0,0.6071,238
Ravia,Ravia,29.0,39.0,0.5893,239
DA,Ravia,101.0,39.0,0.5893,239
Ravia,DA,29.0,102.0,0.5893,239
DA,DA,101.0,102.0,0.5893,239
Ravia,Ravia,42.0,52.0,0.5,240
DA,Ravia,103.0,52.0,0.5,240
Ravia,DA,42.0,104.0,0.5,240
DA,DA,103.0,104.0,0.5,240
Ravia,Ravia,43.0,53.0,0.3958,241
Ravia,Ravia,45.0,55.0,0.3542,242
DA,Ravia,105.0,55.0,0.3542,242
Ravia,DA,45.0,106.0,0.3542,242
DA,DA,105.0,106.0,0.3542,242
Ravia,Ravia,46.0,56.0,0.5208,243
Ravia,Ravia,47.0,57.0,0.5,244
Ravia,Ravia,48.0,58.0,0.3542,245
DA,Ravia,107.0,58.0,0.3542,245
Ravia,DA,48.0,108.0,0.3542,245
DA,DA,107.0,108.0,0.3542,245
Ravia,Ravia,49.0,59.0,0.3125,246
Ravia,Ravia,50.0,60.0,0.3958,247
DA,Ravia,109.0,60.0,0.3958,247
Ravia,DA,50.0,110.0,0.3958,247
DA,DA,109.0,110.0,0.3958,247
Ravia,Ravia,61.0,71.0,0.6667,248
DA,Ravia,111.0,71.0,0.6667,248
Ravia,DA,61.0,112.0,0.6667,248
DA,DA,111.0,112.0,0.6667,248
Ravia,Ravia,62.0,72.0,0.5417,249
DA,Ravia,113.0,72.0,0.5417,249
Ravia,DA,62.0,114.0,0.5417,249
DA,DA,113.0,114.0,0.5417,249
Ravia,Ravia,63.0,73.0,0.6042,250
Ravia,Ravia,64.0,74.0,0.4583,251
Ravia,Ravia,65.0,75.0,0.6458,252
DA,Ravia,115.0,75.0,0.6458,252
Ravia,DA,65.0,116.0,0.6458,252
DA,DA,115.0,116.0,0.6458,252
Ravia,Ravia,66.0,76.0,0.7292,253
DA,Ravia,117.0,76.0,0.7292,253
Ravia,DA,66.0,118.0,0.7292,253
DA,DA,117.0,118.0,0.7292,253
Ravia,Ravia,67.0,77.0,0.6458,254
Ravia,Ravia,68.0,78.0,0.6667,255
DA,Ravia,119.0,78.0,0.6667,255
Ravia,DA,68.0,120.0,0.6667,255
DA,DA,119.0,120.0,0.6667,255
Ravia,Ravia,69.0,79.0,0.6042,256
DA,Ravia,121.0,79.0,0.6042,256
Ravia,DA,69.0,122.0,0.6042,256
DA,DA,121.0,122.0,0.6042,256
Ravia,Ravia,70.0,80.0,0.7708,257
Ravia,Ravia,81.0,91.0,0.4375,258
Ravia,Ravia,82.0,92.0,0.3594,259
DA,Ravia,123.0,92.0,0.3594,259
Ravia,DA,82.0,124.0,0.3594,259
DA,DA,123.0,124.0,0.3594,259
Ravia,Ravia,83.0,93.0,0.4688,260
Ravia,Ravia,84.0,94.0,0.4688,261
DA,Ravia,125.0,94.0,0.4688,261
Ravia,DA,84.0,126.0,0.4688,261
DA,DA,125.0,126.0,0.4688,261
Ravia,Ravia,86.0,96.0,0.4062,262
Ravia,Ravia,87.0,97.0,0.3906,263
Ravia,Ravia,88.0,98.0,0.4219,264
Ravia,Ravia,89.0,99.0,0.4219,265
Ravia,Ravia,90.0,100.0,0.4688,266
DA,Ravia,127.0,100.0,0.4688,266
Ravia,DA,90.0,128.0,0.4688,266
DA,DA,127.0,128.0,0.4688,266
Bushdid,Bushdid,1.0,2.0,0.576923,267
Bushdid,Bushdid,3.0,4.0,0.692308,268
DA,Bushdid,129.0,4.0,0.692308,268
Bushdid,DA,3.0,130.0,0.692308,268
DA,DA,129.0,130.0,0.692308,268
Bushdid,Bushdid,5.0,6.0,0.269231,269
DA,Bushdid,131.0,6.0,0.269231,269
Bushdid,DA,5.0,132.0,0.269231,269
DA,DA,131.0,132.0,0.269231,269
Bushdid,Bushdid,9.0,10.0,0.576923,270
Bushdid,Bushdid,11.0,12.0,0.307692,271
Bushdid,Bushdid,13.0,14.0,0.5,272
DA,Bushdid,133.0,14.0,0.5,272
Bushdid,DA,13.0,134.0,0.5,272
DA,DA,133.0,134.0,0.5,272
Bushdid,Bushdid,15.0,16.0,0.769231,273
Bushdid,Bushdid,23.0,24.0,0.653846,274
Bushdid,Bushdid,25.0,26.0,0.769231,275
Bushdid,Bushdid,27.0,28.0,0.807692,276
Bushdid,Bushdid,31.0,32.0,0.615385,277
DA,Bushdid,135.0,32.0,0.615385,277
Bushdid,DA,31.0,136.0,0.615385,277
DA,DA,135.0,136.0,0.615385,277
Bushdid,Bushdid,33.0,34.0,0.423077,278
Bushdid,Bushdid,35.0,36.0,0.576923,279
Bushdid,Bushdid,37.0,38.0,0.576923,280
Bushdid,Bushdid,39.0,40.0,0.615385,281
DA,Bushdid,137.0,40.0,0.615385,281
Bushdid,DA,39.0,138.0,0.615385,281
DA,DA,137.0,138.0,0.615385,281
Bushdid,Bushdid,41.0,42.0,0.538462,282
Bushdid,Bushdid,43.0,44.0,0.5,283
DA,Bushdid,139.0,44.0,0.5,283
Bushdid,DA,43.0,140.0,0.5,283
DA,DA,139.0,140.0,0.5,283
Bushdid,Bushdid,45.0,46.0,0.576923,284
DA,Bushdid,141.0,46.0,0.576923,284
Bushdid,DA,45.0,142.0,0.576923,284
DA,DA,141.0,142.0,0.576923,284
Bushdid,Bushdid,47.0,48.0,0.807692,285
DA,Bushdid,143.0,48.0,0.807692,285
Bushdid,DA,47.0,144.0,0.807692,285
DA,DA,143.0,144.0,0.807692,285
Bushdid,Bushdid,49.0,50.0,0.269231,286
Bushdid,Bushdid,53.0,54.0,0.653846,287
Bushdid,Bushdid,55.0,56.0,0.615385,288
Bushdid,Bushdid,57.0,58.0,0.653846,289
Bushdid,Bushdid,59.0,60.0,0.538462,290
Bushdid,Bushdid,61.0,62.0,0.576923,291
Bushdid,Bushdid,63.0,64.0,0.5,292
Bushdid,Bushdid,67.0,68.0,0.346154,293
Bushdid,Bushdid,69.0,70.0,0.5,294
Bushdid,Bushdid,71.0,72.0,0.307692,295
DA,Bushdid,145.0,72.0,0.307692,295
Bushdid,DA,71.0,146.0,0.307692,295
DA,DA,145.0,146.0,0.307692,295
Bushdid,Bushdid,73.0,74.0,0.692308,296
Bushdid,Bushdid,75.0,76.0,0.423077,297
DA,Bushdid,147.0,76.0,0.423077,297
Bushdid,DA,75.0,148.0,0.423077,297
DA,DA,147.0,148.0,0.423077,297
Bushdid,Bushdid,77.0,78.0,0.538462,298
Bushdid,Bushdid,79.0,80.0,0.346154,299
Bushdid,Bushdid,81.0,82.0,0.692308,300
Bushdid,Bushdid,83.0,84.0,0.384615,301
Bushdid,Bushdid,85.0,86.0,0.461538,302
